country,signature_date,ratification_date,entry_into_force_date,denunciation_effective_date,signature_year,ratification_year,entry_into_force_year,denunciation_year,first_full_year_ratification,first_full_year_entry_into_force,ever_ratified,eif_is_convention_wide,verified_ratification,verified_signature,source,primary_source_status,note
Denmark,2013-10-11,2014-04-23,2014-08-01,,2013,2014,2014,,2015,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Estonia,2014-12-02,2017-10-26,2018-02-01,,2014,2017,2018,,2018,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Finland,2011-05-11,2015-04-17,2015-08-01,,2011,2015,2015,,2016,2016,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
France,2011-05-11,2014-07-04,2014-11-01,,2011,2014,2014,,2015,2015,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Georgia,2014-06-19,2017-05-19,2017-09-01,,2014,2017,2017,,2018,2018,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Germany,2011-05-11,2017-10-12,2018-02-01,,2011,2017,2018,,2018,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Greece,2011-05-11,2018-06-18,2018-10-01,,2011,2018,2018,,2019,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Hungary,2014-03-14,,,,2014,,,,,,False,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,Signatory only; never ratified.
Iceland,2011-05-11,2018-04-26,2018-08-01,,2011,2018,2018,,2019,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Ireland,2015-11-05,2019-03-08,2019-07-01,,2015,2019,2019,,2020,2020,True,False,True,False,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,"Signature date disputed between sources: S1 gives 2015-11-05, S2 gives 2015-11-15. Both agree on November 2015. Signature does not enter the analysis."
Italy,2012-09-27,2013-09-10,2014-08-01,,2012,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Latvia,2016-05-18,2024-01-10,2024-05-01,,2016,2024,2024,,2025,2025,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table); S3 (CoE news release / contemporaneous reporting 2026-08-04),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,"Ratified after the 2000-2023 estimation window closes, so Latvia acts as an untreated unit throughout. Latvian parliament voted 2025-10-30 to denounce; outside the panel window."
Liechtenstein,2016-11-10,2021-06-17,2021-10-01,,2016,2021,2021,,2022,2022,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table); S3 (CoE news release / contemporaneous reporting 2026-08-04),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Lithuania,2013-06-07,,,,2013,,,,,,False,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,"Signatory only; Constitutional Court ruled in 2024 that ratification would not conflict with the constitution, but ratification has not occurred. Never ratified."
Luxembourg,2011-05-11,2018-08-07,2018-12-01,,2011,2018,2018,,2019,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Malta,2012-05-21,2014-07-29,2014-11-01,,2012,2014,2014,,2015,2015,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Moldova,2017-02-06,2022-01-31,2022-05-01,,2017,2022,2022,,2023,2023,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table); S3 (CoE news release / contemporaneous reporting 2026-08-04),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Monaco,2012-09-20,2014-10-07,2015-02-01,,2012,2014,2015,,2015,2016,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Montenegro,2011-05-11,2013-04-22,2014-08-01,,2011,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Netherlands,2012-11-14,2015-11-18,2016-03-01,,2012,2015,2016,,2016,2017,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
North Macedonia,2011-07-08,2018-03-23,2018-07-01,,2011,2018,2018,,2019,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Norway,2011-07-07,2017-07-05,2017-11-01,,2011,2017,2017,,2018,2018,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Poland,2012-12-18,2015-04-27,2015-08-01,,2012,2015,2015,,2016,2016,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Portugal,2011-05-11,2013-02-05,2014-08-01,,2011,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Romania,2014-06-27,2016-05-23,2016-09-01,,2014,2016,2016,,2017,2017,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
San Marino,2014-04-30,2016-01-28,2016-05-01,,2014,2016,2016,,2017,2017,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Serbia,2012-04-04,2013-11-21,2014-08-01,,2012,2013,2014,,2014,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Slovakia,2011-05-11,,,,2011,,,,,,False,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,Signatory only; parliament voted against ratification in 2020. Never ratified.
Slovenia,2011-09-08,2015-02-05,2015-06-01,,2011,2015,2015,,2016,2016,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Spain,2011-05-11,2014-04-10,2014-08-01,,2011,2014,2014,,2015,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Sweden,2011-05-11,2014-07-01,2014-11-01,,2011,2014,2014,,2015,2015,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Switzerland,2013-09-11,2017-12-14,2018-04-01,,2013,2017,2018,,2018,2019,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
Turkey,2011-05-11,2012-03-14,2014-08-01,2021-07-01,2011,2012,2014,2021,2013,2015,True,True,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,Denounced by presidential decree announced 2021-03-20; denunciation took effect 2021-07-01. Turkey is the only treatment reversal in the panel.
Ukraine,2011-11-07,2022-07-18,2022-11-01,,2011,2022,2022,,2023,2023,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table); S3 (CoE news release / contemporaneous reporting 2026-08-04),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
United Kingdom,2012-06-08,2022-07-21,2022-11-01,,2012,2022,2022,,2023,2023,True,False,True,True,S1 (UN IBC Gender 2020 Annex 1); S2 (Wikipedia CETS 210 table); S3 (CoE news release / contemporaneous reporting 2026-08-04),CoE Treaty Office chart for CETS 210 returned HTTP 403 to automated retrieval on 2026-08-04; not fetched directly,
